artist;link;genre
Akvilina;https://soundcloud.com/akvilina;Darkwave
Amoral;https://soundcloud.com/amoralish;Fast Techno
Aurora Halal;https://soundcloud.com/itsallhalal;Techno
Beda;https://soundcloud.com/ainodj;Tribal
Best Boy Electric;https://soundcloud.com/bestboyelectric;Acid
Bläck Dävil;https://soundcloud.com/blackdavil;Techno
Bue;https://soundcloud.com/dj-bue;House
Caleesi & Sarah Kreis;https://soundcloud.com/caleesi;Deep House
Charon Styx;https://soundcloud.com/charonstyxs;Tech House
Corios;https://soundcloud.com/corios_berlin;House
Cotumo;https://soundcloud.com/cotumo;Darkwave
Crille & Tamalt;https://soundcloud.com/crilleundtamalt;House
Danielle;https://soundcloud.com/danielle_dj;House
Danilo Plessow aka MCDE;https://soundcloud.com/danilo-plessow;Disco
Danny Deule;https://soundcloud.com/danny-deule;Disco
Dasco;https://soundcloud.com/dj-dasco;House
Dee Diggs;https://soundcloud.com/dee_diggs;House
Detox Dan;https://soundcloud.com/katerkaries;Techno
Di Linh;https://soundcloud.com/dilinhmusic;Techno
Dixon;https://soundcloud.com/dixon;House
DJ Tool;https://soundcloud.com/djnorthern;Garage
Ellen Allien;https://soundcloud.com/ellen-allien;Techno
Elliver;https://soundcloud.com/elliver-twist;Acid House
Emo Rugene;https://soundcloud.com/emo-rugene;House
Felde;https://soundcloud.com/djfelde;Experimental Chill
Ferdi;https://soundcloud.com/ferdilegrande;Techno
Für Elise;https://soundcloud.com/fur_elise_0;Fast Techno
Galaxaura;https://soundcloud.com/galaxaura;House
Gerd Janson;https://soundcloud.com/gerdjanson;House
Gigi FM;https://soundcloud.com/gigi-fm;Ambient
Hanaby;https://soundcloud.com/wherrdeydodatat;HouseC27
Hunee;https://soundcloud.com/hunee;World Music
JaninJanina;https://soundcloud.com/janine;House
Jaxx TMS;https://soundcloud.com/jaxxtms;Disco, House
Joel Mull;https://soundcloud.com/joelmull;Techno
Julio Paradise B2B Gwen Wayne;https://soundcloud.com/gwenwayne;House
Kimchicora;https://soundcloud.com/kimchi-cora;Trance
Kleintierschaukel;https://soundcloud.com/kleintierschaukel;Downtempo
Lars Noll;https://soundcloud.com/larsnoll;Chill
Leopardy;https://soundcloud.com/leopardy;House
Lolsnake;https://soundcloud.com/lolsnake;Fast Techno
Luzi Gehrisch;https://soundcloud.com/luzi-gehrisch;Chill
Lydo;https://soundcloud.com/lydole;House
Mami;https://soundcloud.com/mami-music;Techno
Marie Lung;https://soundcloud.com/marie_thessa;House
Marie Montexier;https://soundcloud.com/mariemontexier;Techno
Menquie;https://soundcloud.com/menqui;Chill
Mimi Love;https://soundcloud.com/spreedelay;House
Narciss;https://soundcloud.com/itsnarciss;Eurodance
Oberheimer;https://soundcloud.com/oberheimer;Chill
Octave One;https://soundcloud.com/octaveone;Techno
Octo Octa;https://soundcloud.com/octoocta;House
Omoloko;https://soundcloud.com/omoloko;House
Or:la;https://soundcloud.com/orla_cd;Breakbeat
Oskar der Winzige;https://soundcloud.com/derwinzige;Chill
Paquita Gordon;https://soundcloud.com/paquitagordon;House
Perra Inmunda;https://soundcloud.com/perra_inmunda;House
Phillip Jondo;https://soundcloud.com/dublab_de/phillip-jondo;House
Portable;https://soundcloud.com/portable;House
Pose Dia;https://soundcloud.com/pose_dia;Breakbeat
Puneh & Punani;https://soundcloud.com/thfradio/sets/puneh-punani;Breakbeat
Red Rooms;https://soundcloud.com/red_rooms;Fast Techno
Rieke1312;https://soundcloud.com/rieke1312;Trance
Rødhåd;https://soundcloud.com/rodhad;Techno
Ruede Hagelstein;https://soundcloud.com/ruedehagelstein;Techno
Saeko Killy;https://soundcloud.com/killy44;Chill
Sandilé;https://soundcloud.com/sandile_official;House
Santi & Tuğçe;https://soundcloud.com/santiandtugce;Downtempo
Shinedoe;https://soundcloud.com/shinedoe;Techno
Snigglz;https://soundcloud.com/snigglz;Chill
Stella Zekri;https://soundcloud.com/stella-zekri-ouiddir;House
Suse;https://soundcloud.com/suse-official;House
Sven Dohse;https://soundcloud.com/svendohse;Techno
Tim Franklin;https://soundcloud.com/timfranklin;Indie
Yaso G.;https://soundcloud.com/yaso_g;House
Zum Kuckuck;https://soundcloud.com/kuckuck_chemnitz;Chill
